question,label
"고마워, 스트레스 풀 문장 하나 줘",일반
대리 기준 입사 양식 위치 알려줘,규율
총무팀 관련 공지는 메일에서 어디에 있어?,기타
팀장 기준 보안 신청 절차 알려줘,규율
C라인 목표 달성률 왜 낮은지 분석해줘,생산
지금 외부망에서 사내 포털 첨부 업로드 실패 해결 방법 알려줘,기타
오늘 볼트 M4x10 반품 재고 요약 알려줘,재고
이번 주 기준으로 날씨 짧게 알려줘,일반
메일에서 부서 공지 올리는 방법 알려줘,기타
오늘 A라인 가동률 보여줘,생산
오늘 생산 비용 집계 알려줘,재무
동료처럼 웃긴 멘트 하나 해줘,일반
오늘 사내망에서 전자결재 로그인 실패 해결 방법 알려줘,기타
월간 센서 B형 안전재고 집계 알려줘,재고
주간 와셔 8mm 불용 재고 수량 알려줘,재고
이번 달 모터 A라인 재고 상세 알려줘,재고
출장 신청 절차 알려줘,규율
이번 달 영업 매출 상세 알려줘,재무
이번 달 재고 기준으로 볼트 M5 데이터 보여줘,재고
이번 주 생산 원가 상세 알려줘,재무
날씨 관련해서 재밌게 조언해줘,일반
메일 PC 버전에서 업무 메뉴 찾는 경로 알려줘,기타
금일 센서 B형 재고 리스트 알려줘,재고
이번 주 관리 예산 집행률 집계 알려줘,재무
지난 달 영업 매출 비교 알려줘,재무
이번 달 3라인 비가동 시간 보여줘,생산
어제 1라인 목표 달성률 보여줘,생산
주간 와셔 8mm 재고 평가금액 집계 알려줘,재고
"잘 지내?, 짧은 농담 해줘",일반
이번 주 생산 미수금 집계 알려줘,재무
3라인 비가동 사유가 계획 변경 맞아?,생산
생산 예산 집행률가 지난 달 대비 얼마나 변했어?,재무
인사팀 관련 업무 메뉴는 사내 포털에서 어디에 있어?,기타
재택근무 주의사항 요약해줘,규율
오늘 기준으로 날씨 친근하게 알려줘,일반
이번 달 볼트 M4x10 재고 평가금액 집계 알려줘,재고
오늘 외부망에서 메일 페이지 오류 해결 방법 알려줘,기타
이번 주 비상정지버튼 출고 예정 상세 알려줘,재고
이번 주 2라인 비가동 시간 보여줘,생산
오늘 점심 메뉴 어떨까?,일반
이번 주 원격에서 공지 시스템 페이지 오류 해결 방법 알려줘,기타
커피 추천 관련해서 한 줄로 조언해줘,일반
오늘 외부망에서 공지 시스템 로그인 실패 해결 방법 알려줘,기타
사원 기준 연차 규정 알려줘,규율
이번 주 컨디션 올리는 팁 짧게 말해줘,일반
오늘 집중 방법 어떨까?,일반
월간 기준 볼트 M5 재고 변동 추이 알려줘,재고
이번 주 B라인 가동률 보여줘,생산
출장 승인 기준 알려줘,규율
신입 기준 근태 규정 알려줘,규율
