품목코드,품목명,카테고리,현재수량,단위,안전재고,최소발주량,단가(원),입고예정일,창고위치,담당자,상태
HYD-002,유압 호스 3/8인치,유압/공압,98,m,40,20,11000,2026-04-10,C-1,최지원,정상
BRG-011,테이퍼 베어링 30204,베어링,42,개,30,15,12000,2026-04-12,B-2,이영희,정상
ELC-005,리밋스위치,전기/전자,55,개,20,10,12000,2026-04-25,D-1,정수현,정상
CNS-003,방청유 500ml,소모품,45,개,15,8,12000,2026-04-18,F-1,오세훈,정상
BRG-012,테이퍼 베어링 30205,베어링,35,개,30,15,13500,2026-04-15,B-2,이영희,정상
CNS-007,안전모,소모품,35,개,15,8,15000,2026-04-28,F-1,오세훈,정상
BRG-013,스러스트 베어링 51100,베어링,28,개,20,10,18000,2026-04-18,B-2,이영희,정상
PNM-005,에어 필터 1/4,유압/공압,45,개,15,8,18000,2026-04-28,C-2,최지원,정상
ELC-008,비상정지버튼,전기/전자,7,개,15,8,18000,2026-03-15,D-1,정수현,부족
MTL-009,각파이프 40x40,원자재,55,개,20,10,18000,2026-04-25,E-2,한동훈,정상
CNS-010,용접봉 3.2mm,소모품,22,kg,8,4,18000,2026-04-12,F-2,오세훈,정상
MTL-010,환봉 D25,원자재,38,개,15,8,22000,2026-04-28,E-2,한동훈,정상
CNS-002,그리스 1kg,소모품,32,개,10,5,22000,2026-04-15,F-1,오세훈,정상
ELC-001,근접센서 NPN,전기/전자,42,개,15,8,25000,2026-04-15,D-1,정수현,정상
ELC-002,근접센서 PNP,전기/전자,38,개,15,8,25000,2026-04-18,D-1,정수현,정상
MTL-007,알루미늄 봉 D20,원자재,42,개,15,8,28000,2026-04-20,E-2,한동훈,정상
MTL-012,구리 봉 D10,원자재,28,개,10,5,32000,2026-04-10,E-2,한동훈,정상
PNM-004,공압 레귤레이터,유압/공압,22,개,10,5,35000,2026-04-25,C-2,최지원,정상
MTL-001,철판 SS400 2T,원자재,48,장,20,10,35000,2026-04-28,E-1,한동훈,정상
PNM-003,공압 밸브 5/2방,유압/공압,28,개,10,5,42000,2026-04-22,C-2,최지원,정상
MTL-008,알루미늄 봉 D30,원자재,35,개,15,8,45000,2026-04-22,E-2,한동훈,정상
MTL-011,구리 선 1.5sq,원자재,35,kg,12,6,45000,2026-04-30,E-2,한동훈,정상
MTL-002,철판 SS400 3T,원자재,35,장,15,8,52000,2026-04-30,E-1,한동훈,정상
ELC-004,광전센서 반사형,전기/전자,22,개,8,4,58000,2026-04-22,D-1,정수현,정상
ELC-003,광전센서 투과형,전기/전자,18,개,8,4,65000,2026-04-20,D-1,정수현,정상
MTL-005,알루미늄 판 5T,원자재,28,장,10,5,72000,2026-04-15,E-1,한동훈,정상
PNM-001,공압 실린더 50x100,유압/공압,15,개,8,4,85000,2026-04-18,C-2,최지원,정상
CNS-001,절삭유 20L,소모품,18,통,6,3,85000,2026-04-12,F-1,오세훈,정상
PNM-002,공압 실린더 63x150,유압/공압,12,개,8,4,98000,2026-04-20,C-2,최지원,정상
MTL-003,철판 SS400 6T,원자재,22,장,10,5,98000,2026-04-10,E-1,한동훈,정상
MTL-004,철판 SUS304 2T,원자재,18,장,8,4,125000,2026-04-12,E-1,한동훈,정상
MTL-006,알루미늄 판 10T,원자재,15,장,8,4,138000,2026-04-18,E-1,한동훈,정상
